Base_Currency,Target_Currency,Exchange_Rate,Last_Updated
USD,AUD,1.4413,2026-07-03
USD,BRL,5.1962,2026-07-03
USD,CAD,1.4202,2026-07-03
USD,CHF,0.80276,2026-07-03
USD,CNY,6.7814,2026-07-03
USD,CZK,21.134,2026-07-03
USD,DKK,6.5292,2026-07-03
USD,EUR,0.87352,2026-07-03
USD,GBP,0.74878,2026-07-03
USD,HKD,7.8434,2026-07-03
USD,HUF,308.44,2026-07-03
USD,IDR,17964.0,2026-07-03
USD,ILS,2.9989,2026-07-03
USD,INR,95.21,2026-07-03
USD,ISK,125.79,2026-07-03
USD,JPY,161.15,2026-07-03
USD,KRW,1531.23,2026-07-03
USD,MXN,17.4472,2026-07-03
USD,MYR,4.071,2026-07-03
USD,NOK,9.8436,2026-07-03
USD,NZD,1.7513,2026-07-03
USD,PHP,61.442,2026-07-03
USD,PLN,3.7428,2026-07-03
USD,RON,4.5736,2026-07-03
USD,SEK,9.6362,2026-07-03
USD,SGD,1.2905,2026-07-03
USD,THB,33.135,2026-07-03
USD,TRY,46.805,2026-07-03
USD,ZAR,16.213,2026-07-03
